mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
13.573,0.918,0.297,0.066,0.241,0.11,0.714,2.716,0.0
13.396,0.918,0.311,0.06,0.235,0.1,0.707,2.604,0.0
13.233,0.924,0.272,0.059,0.211,0.099,0.641,2.638,0.0
13.763,0.928,0.283,0.066,0.206,0.103,0.659,2.648,0.0
13.594,0.919,0.264,0.063,0.216,0.107,0.649,2.671,0.0
13.655,0.923,0.326,0.06,0.22,0.1,0.705,2.642,0.0
13.209,0.928,0.27,0.061,0.216,0.097,0.643,2.613,0.0
13.465,0.928,0.257,0.062,0.202,0.107,0.629,2.649,0.0
13.687,0.923,0.257,0.063,0.214,0.102,0.636,2.68,0.0
13.337,0.926,0.278,0.062,0.213,0.099,0.652,2.631,0.0
13.24,0.926,0.242,0.061,0.221,0.103,0.627,2.594,0.0
13.51,0.922,0.236,0.061,0.237,0.102,0.636,2.624,0.0
13.11,0.922,0.254,0.061,0.22,0.099,0.634,2.645,0.0
13.571,0.912,0.33,0.067,0.238,0.107,0.741,2.674,0.0
13.165,0.931,0.243,0.057,0.204,0.095,0.599,2.646,0.0
13.803,0.931,0.233,0.058,0.209,0.102,0.602,2.755,0.0
13.656,0.929,0.263,0.065,0.196,0.106,0.631,2.715,0.0
13.697,0.917,0.256,0.063,0.243,0.1,0.662,2.717,0.0
13.476,0.933,0.249,0.059,0.197,0.102,0.607,2.711,0.0
